Catalog ID,PlateID,Well,MW (desalted),ClogP,HBD,TPSA,RotBonds,ID,SMILES
Z408618770,1224024-R-03,C10,347.333,0.451,1,63.690,7,,CC(OCC(F)(F)F)C(=O)NCc1cccnc1N1CCOCC1
Z145915156,1224024-R-03,C11,322.360,-3.302,1,91.310,5,,COCCn1nc(C(=O)NC2CCN(C(C)=O)CC2)ccc1=O
Z147204614,1224024-R-03,D02,265.331,0.316,2,85.080,5,,NC(=O)Cc1csc(NC(=O)CC2C=CCC2)n1
Z166715118,1224024-R-03,D03,259.282,-0.932,2,101.300,2,,Cc1cc(NC(=O)NC2CCS(=O)(=O)C2)no1
Z332429456,1224024-R-03,D04,273.309,-1.394,2,101.300,3,,Cc1cc(NC(=O)NCC2CCS(=O)(=O)C2)no1
Z410714938,1224024-R-03,D05,252.313,0.857,2,68.180,3,,Cc1cc(NC(=O)NC(C)C2CCCO2)n(C)n1
Z409671088,1224024-R-03,D06,298.404,2.100,2,66.490,4,,CC1CN(C(C)CNC(=O)Nc2nccs2)CC(C)O1
Z409511462,1224024-R-03,D07,299.392,1.523,2,79.380,5,,CC(C)CN1CCOC(CNC(=O)Nc2nncs2)C1
Z383132280,1224024-R-03,D08,338.402,0.825,1,82.190,6,,CC(C)C(CNC(=O)Cn1ccc(=O)n(C)c1=O)N1CCOCC1
Z434318546,1224024-R-03,D09,327.399,-1.232,1,88.600,5,,CC(C(=O)NCc1cccnc1N1CCOCC1)S(C)(=O)=O
Z453676616,1224024-R-03,D10,341.426,0.608,1,88.600,4,,CC1CN(c2ccc(NC(=O)C(C)S(C)(=O)=O)cn2)CC(C)O1
Z406642470,1224024-R-03,D11,347.333,0.451,1,63.690,7,,CC(OCC(F)(F)F)C(=O)NCc1ccc(N2CCOCC2)nc1
